Spreadsheet cells from Parameters
Row,Column,Cell,Content,Alias
37,B,B37,84.0 mm,OuterJArcBaseFromBottom
37,C,C37,Height from Z minimum to outer J arc baseline,
38,A,A38,ChainMountBlockWidthX,
38,B,B38,30.5 mm,ChainMountBlockWidthX
38,C,C38,Chain mounting block width along X,
39,A,A39,ChainMountBlockDepthY,
39,B,B39,22.6 mm,ChainMountBlockDepthY
39,C,C39,Chain mounting block depth along Y,
40,A,A40,ChainMountBlockHeight,
40,B,B40,15.0 mm,ChainMountBlockHeight
40,C,C40,Chain mounting block extrusion height toward negative Z,
41,A,A41,ChainMountBlockTopZ,
41,B,B41,-11.5 mm,ChainMountBlockTopZ
41,C,C41,Global top Z coordinate of chain mounting block,
42,A,A42,UpperLFlangeThickness,
42,B,B42,5.62 mm,UpperLFlangeThickness
42,C,C42,Upper L horizontal flange thickness along Y,
43,A,A43,UpperLHeight,
43,B,B43,38.0 mm,UpperLHeight
43,C,C43,Upper L vertical extrusion height above gantry block,
44,A,A44,UpperLTopZ,
44,B,B44,48.0 mm,UpperLTopZ
44,C,C44,Global top Z coordinate of Upper L,
45,A,A45,OuterJTopZ,
45,B,B45,61.5 mm,OuterJTopZ
45,C,C45,Nominal top Z coordinate of outer J,
46,A,A46,OuterJCenterX,
46,B,B46,29.5 mm,OuterJCenterX
46,C,C46,Center X coordinate of outer J rounded top,
47,A,A47,OuterJCenterY,
47,B,B47,-35.6 mm,OuterJCenterY
47,C,C47,Center Y coordinate through outer J thickness,
48,A,A48,OuterJLowerArmThickness,
48,B,B48,3.5 mm,OuterJLowerArmThickness
48,C,C48,Final uniform thickness of outer J lower free arm,
49,A,A49,OuterJLowerArmReliefDepth,
49,B,B49,1.5 mm,OuterJLowerArmReliefDepth
49,C,C49,Material removed from inner side of outer J lower arm,
50,A,A50,OuterJLowerArmRun,
50,B,B50,30.5 mm,OuterJLowerArmRun
50,C,C50,Length of reduced-thickness outer J lower arm,
51,A,A51,UmbilicalCradleInnerDiameter,
51,B,B51,10.0 mm,UmbilicalCradleInnerDiameter
51,C,C51,Umbilical cable cradle internal diameter,
52,A,A52,UmbilicalCradleWallThickness,
52,B,B52,3.0 mm,UmbilicalCradleWallThickness
52,C,C52,Umbilical cable cradle wall thickness,
53,A,A53,UmbilicalCradleHeight,
53,B,B53,59.5 mm,UmbilicalCradleHeight
53,C,C53,Umbilical cable cradle extrusion height,
54,A,A54,UmbilicalCradleStraightRun,
54,B,B54,9.55 mm,UmbilicalCradleStraightRun
54,C,C54,Straight run from support wall to cradle arc center,
55,A,A55,UmbilicalCradleRootFilletRadius,
55,B,B55,1.25 mm,UmbilicalCradleRootFilletRadius
55,C,C55,Root fillet radius for umbilical cradle walls,
56,A,A56,UmbilicalCradleBendRadius,
56,B,B56,15.0 mm,UmbilicalCradleBendRadius
56,C,C56,Umbilical cable cradle bend centerline radius,
57,A,A57,UmbilicalBendPlaneDrop,
57,B,B57,3.0 mm,UmbilicalBendPlaneDrop
57,C,C57,Downward offset of the 45 degree umbilical bend plane,
58,A,A58,UmbilicalBendCylinderLength,
58,B,B58,18.0 mm,UmbilicalBendCylinderLength
58,C,C58,Length of the 45 degree subtractive umbilical cylinder,
59,A,A59,UmbilicalBendCylinderDiameter,
59,B,B59,12.0 mm,UmbilicalBendCylinderDiameter
59,C,C59,Diameter of the 45 degree subtractive umbilical cylinder,
60,A,A60,ChainMountM3HoleDiameter,
60,B,B60,2.55 mm,ChainMountM3HoleDiameter
60,C,C60,Pilot diameter for M3 chain mount holes,
61,A,A61,ChainMountM3PrimaryOffset,
61,B,B61,16.56 mm,ChainMountM3PrimaryOffset
61,C,C61,Primary chain mount M3 hole offset from outer edge opposite cradle,
62,A,A62,ChainMountM3RowOffset,
62,B,B62,4.0 mm,ChainMountM3RowOffset
62,C,C62,Row offset for lower pair of chain mount M3 holes,
63,A,A63,ChainMountM3LowerSpacing,
63,B,B63,10.0 mm,ChainMountM3LowerSpacing
63,C,C63,Center spacing of lower pair of chain mount M3 holes,
64,A,A64,ExternalEdgeChamferSize,
64,B,B64,0.8 mm,ExternalEdgeChamferSize
64,C,C64,Chamfer size for selected external safe edges,
65,A,A65,Sketch003 world Z maximum baseline,
65,B,B65,48.0 mm,ManualSketch003WorldZMax
66,A,A66,Phase1 manual Pocket length,
66,B,B66,5.1 mm,ManualPocketLength
67,A,A67,Phase1 manual Pocket001 length,
67,B,B67,83.0 mm,ManualPocket001Length
68,A,A68,Phase1 manual Pocket002 length,
68,B,B68,5.0 mm,ManualPocket002Length
69,A,A69,Phase1 manual Pocket003 length,
69,B,B69,17.0 mm,ManualPocket003Length
70,A,A70,Phase1 manual Pad length,
70,B,B70,1.6 mm,ManualPadLength
71,A,A71,Phase1 Fillet radius,
71,B,B71,11.0 mm,ManualFilletRadius
72,A,A72,Phase1 Fillet001 radius,
72,B,B72,17.0 mm,ManualFillet001Radius
73,A,A73,Phase1 Fillet002 radius,
73,B,B73,3.0 mm,ManualFillet002Radius
74,A,A74,Phase1 Fillet003 radius,
74,B,B74,3.0 mm,ManualFillet003Radius
75,A,A75,Phase1 Fillet004 radius,
75,B,B75,2.0 mm,ManualFillet004Radius
76,A,A76,Phase1 Fillet005 radius,
76,B,B76,3.0 mm,ManualFillet005Radius
77,A,A77,Phase1 Fillet006 radius,
77,B,B77,2.0 mm,ManualFillet006Radius
78,A,A78,Sketch001 local X minimum,
78,B,B78,-12.12670071 mm,ManualSketch001XMin
79,A,A79,Sketch001 local X maximum,
79,B,B79,8.0 mm,ManualSketch001XMax
80,A,A80,Sketch001 local Y minimum,
80,B,B80,2.12132034 mm,ManualSketch001YMin
81,A,A81,Sketch001 local Y maximum,
81,B,B81,24.72687085 mm,ManualSketch001YMax
82,A,A82,Sketch002 local X minimum baseline,
82,B,B82,-15.42 mm,ManualSketch002XMin
83,A,A83,Sketch002 local X maximum baseline,
83,B,B83,9.7 mm,ManualSketch002XMax
84,A,A84,Sketch002 local Y minimum baseline,
84,B,B84,-3.32867966 mm,ManualSketch002YMin
85,A,A85,Sketch002 local Y maximum baseline,
85,B,B85,19.67132034 mm,ManualSketch002YMax
86,A,A86,Sketch003 world X minimum baseline,
86,B,B86,-12.5 mm,ManualSketch003WorldXMin
87,A,A87,Sketch003 world X maximum baseline,
87,B,B87,23.45 mm,ManualSketch003WorldXMax
196,A,A196,Sketch003 world Z minimum baseline,
196,B,B196,-26.5 mm,ManualSketch003WorldZMin

Extra parameter-like properties on Parameters object
Property,Value,Type,Group,Status
LCornerHoleA_X,20.725,App::PropertyFloat,LCornerHoles,21
LCornerHoleA_Y,-23.3,App::PropertyFloat,LCornerHoles,21
LCornerHoleB_X,29.5,App::PropertyFloat,LCornerHoles,21
LCornerHoleB_Y,-10.69,App::PropertyFloat,LCornerHoles,21
LCornerHoleC_X,20.725,App::PropertyFloat,LCornerHoles,21
LCornerHoleC_Y,-15.3,App::PropertyFloat,LCornerHoles,21
LCornerHoleD_X,21.5,App::PropertyFloat,LCornerHoles,21
LCornerHoleD_Y,-10.69,App::PropertyFloat,LCornerHoles,21
LCornerHoleDiameter,1.2,App::PropertyFloat,LCornerHoles,21
